Name,URL,Stars,Description
"aws-elasticache-cluster-client-memcached-for-java","https://github.com/awslabs/aws-elasticache-cluster-client-memcached-for-java",91,"Amazon ElastiCache Cluster Client for Java - enhanced library to connect to ElastiCache clusters."
"dynamodb-transactions","https://github.com/awslabs/dynamodb-transactions",357,""
"aws-sdk-android-samples","https://github.com/awslabs/aws-sdk-android-samples",1047,"This repository has samples that demonstrate various aspects of the AWS SDK for Android, you can get the SDK source on Github https://github.com/aws-amplify/aws-sdk-android/"
"amazon-kinesis-client","https://github.com/awslabs/amazon-kinesis-client",655,"Client library for Amazon Kinesis"
"route53-infima","https://github.com/awslabs/route53-infima",358,"Library for managing service-level fault isolation using Amazon Route 53."
"aws-fluent-plugin-kinesis","https://github.com/awslabs/aws-fluent-plugin-kinesis",290,"Amazon Kinesis output plugin for Fluentd"
"elasticache-cluster-config-net","https://github.com/awslabs/elasticache-cluster-config-net",29,"A configuration object for Enyim's MemcachedClient that enables the use of Amazon ElastiCache's Auto Discovery feature"
"amazon-kinesis-aggregators","https://github.com/awslabs/amazon-kinesis-aggregators",151,"Amazon Kinesis Aggregators provides a simple way to create real time aggregations of data on Amazon Kinesis."
"dynamodb-document-js-sdk","https://github.com/awslabs/dynamodb-document-js-sdk",252,"DynamoDB Document SDK in Javascript"
"amazon-kinesis-client-python","https://github.com/awslabs/amazon-kinesis-client-python",375,"Amazon Kinesis Client Library for Python"
"amazon-kinesis-scaling-utils","https://github.com/awslabs/amazon-kinesis-scaling-utils",335,"The Kinesis Scaling Utility is designed to give you the ability to scale Amazon Kinesis Streams in the same way that you scale EC2 Auto Scaling groups – up or down by a count or as a percentage of the total fleet. You can also simply scale to an exact number of Shards. There is no requirement for you to manage the allocation of the keyspace to Shards when using this API, as it is done automatically."
"dynamodb-cross-region-library","https://github.com/awslabs/dynamodb-cross-region-library",275,"A library to facilitate cross-region replication with Amazon DynamoDB Streams."
"dynamodb-streams-kinesis-adapter","https://github.com/awslabs/dynamodb-streams-kinesis-adapter",101,"The Amazon DynamoDB Streams Adapter implements the Amazon Kinesis interface so that your application can use KCL to consume and process data from a DynamoDB stream."
"aws-codedeploy-plugin","https://github.com/awslabs/aws-codedeploy-plugin",155,"Jenkins plugin for AWS CodeDeploy"
"amazon-kinesis-client-ruby","https://github.com/awslabs/amazon-kinesis-client-ruby",149,"A Ruby interface for the Amazon Kinesis Client Library. Allows developers to easily create robust application to process Amazon Kinesis streams in Ruby."
"amazon-redshift-utils","https://github.com/awslabs/amazon-redshift-utils",2809,"Amazon Redshift Utils contains utilities, scripts and view which are useful in a Redshift environment"
"aws-sdk-php-resources","https://github.com/awslabs/aws-sdk-php-resources",135,"A resource-oriented interface for interacting with AWS services from PHP."
"amazon-sqs-java-messaging-lib","https://github.com/awslabs/amazon-sqs-java-messaging-lib",181,"This Amazon SQS Java Messaging Library holds the Java Message Service compatible classes, that are used for communicating with Amazon Simple Queue Service. "
"aws-sdk-ios-samples","https://github.com/awslabs/aws-sdk-ios-samples",1052,"This repository has samples that demonstrate various aspects of the AWS SDK for iOS, you can get the SDK source on Github https://github.com/aws-amplify/aws-sdk-ios/"
"aws-lambda-redshift-loader","https://github.com/awslabs/aws-lambda-redshift-loader",595,"Amazon Redshift Database Loader implemented in AWS Lambda"
"amazon-kinesis-client-nodejs","https://github.com/awslabs/amazon-kinesis-client-nodejs",305,"Amazon Kinesis Client Library for Node.js "
"aws-js-s3-explorer","https://github.com/awslabs/aws-js-s3-explorer",858,"AWS JavaScript S3 Explorer is a JavaScript application that uses AWS's JavaScript SDK and S3 APIs to make the contents of an S3 bucket easy to browse via a web browser. "
"ecs-task-kite","https://github.com/awslabs/ecs-task-kite",61,"ECS Task Kite - A simple ambassador container for inter-task communication on ECS - http://aws.amazon.com/ecs/ "
"amazon-kinesis-client-net","https://github.com/awslabs/amazon-kinesis-client-net",64,"This package provides an interface to the Amazon Kinesis Client Library (KCL) MultiLangDaemon for the .NET Framework."
"amazon-kinesis-producer","https://github.com/awslabs/amazon-kinesis-producer",412,"Amazon Kinesis Producer Library"
"aws-device-farm-jenkins-plugin","https://github.com/awslabs/aws-device-farm-jenkins-plugin",89,"Jenkins plugin for AWS Device Farm. "
"aws-codepipeline-custom-job-worker","https://github.com/awslabs/aws-codepipeline-custom-job-worker",32,"Use this sample to help you develop your own job worker when creating a custom action for AWS CodePipeline. For more information, see Create a Custom Action for a Pipeline. http://docs.aws.amazon.com/codepipeline/latest/userguide/how-to-create-custom-action.html"
